start_date|end_date|name|hours_worked|hr_rate|tax_rate|gross_pay|income_tax|net_pay
2020-01-01|2020-01-01|brett|40.0|45.0|12.0|1800.0|216.0|1584.0
2023-01-01|2024-01-01|Brett Snuggs|41.0|40.0|22.0|1640.0|360.8|1279.2
2000-10-10|2000-10-10|will smith|10.0|45.0|22.0|450.0|99.0|351.0
1990-05-05|1990-06-06|Danny Devito|80.0|60.0|24.0|4800.0|1152.0|3648.0
2006-06-06|2006-06-06|wes anderson|40.0|55.0|24.0|2200.0|528.0|1672.0
2021-12-12|2021-12-22|Natalie portman|15.0|45.0|22.0|675.0|148.5|526.5
1993-10-10|1993-10-10|bugs bunny|80.0|5.0|5.0|400.0|20.0|380.0
2022-09-14|2022-09-14|Tom Hanks|10.0|400.0|12.0|4000.0|480.0|3520.0
2022-10-05|2022-10-05|brett|40.0|40.0|12.0|1600.0|192.0|1408.0
2022-10-19|2022-10-20|Vinnie|80.0|45.0|12.0|3600.0|432.0|3168.0
